github.com/AlDanial/cloc v 2.04  T=0.07 s (1923.1 files/s, 299234.3 lines/s)
----------------------------------------------------------------------------------------------------------
File                                                                   blank        comment           code
----------------------------------------------------------------------------------------------------------
./pnpm-lock.yaml                                                        2338              0           8741
./app/components/editor/codemirror/CodeMirrorEditor.tsx                   67              6            388
./app/components/workbench/FileTree.tsx                                   66             18            325
./app/components/workbench/EditorPanel.tsx                                22              0            234
./app/lib/runtime/message-parser.ts                                       69              5            211
./app/lib/.server/llm/prompts.ts                                          73              1            210
./app/components/chat/BaseChat.tsx                                         9              0            204
./app/lib/stores/workbench.ts                                             70              2            204
./app/styles/variables.scss                                               42             11            198
./app/components/chat/Artifact.tsx                                        17              0            196
./app/lib/runtime/message-parser.spec.ts                                  19              0            188
./app/components/editor/codemirror/cm-theme.ts                             6              0            186
./app/components/workbench/Workbench.client.tsx                           17              0            170
./app/components/chat/Chat.client.tsx                                     44             21            169
./app/components/sidebar/Menu.client.tsx                                  15              1            156
./uno.config.ts                                                           11            114            152
./app/lib/stores/files.ts                                                 48             27            145
./app/components/chat/Markdown.module.scss                                30              0            141
./app/lib/runtime/action-runner.ts                                        42              3            141
./app/components/workbench/FileBreadcrumb.tsx                             16              0            132
./app/lib/persistence/db.ts                                               30              1            129
./app/components/ui/Dialog.tsx                                            10              0            123
./app/components/workbench/Preview.tsx                                    16              1            107
./package.json                                                             0              0            104
./app/utils/markdown.ts                                                   14              0            102
./app/components/editor/codemirror/languages.ts                            4              0            101
./app/styles/components/editor.scss                                       35              9             91
./app/utils/logger.ts                                                     23              0             89
./app/lib/persistence/useChatHistory.ts                                   22              5             82
./app/lib/stores/editor.ts                                                20              0             75
./app/components/workbench/PortDropdown.tsx                                7              2             74
./.github/ISSUE_TEMPLATE/bug_report.yml                                    2              0             73
./app/root.tsx                                                            12              0             71
./CONTRIBUTING.md                                                         41              0             69
./app/components/chat/CodeBlock.tsx                                       13              0             69
./app/components/ui/IconButton.tsx                                         8              0             69
./app/components/workbench/terminal/Terminal.tsx                          19              1             66
./app/entry.server.tsx                                                    12              0             66
./app/components/chat/Markdown.tsx                                        13              0             61
./app/components/header/HeaderActionButtons.client.tsx                     7              0             61
./app/utils/diff.ts                                                       24             24             60
./app/components/ui/Slider.tsx                                             7              0             58
./app/components/sidebar/HistoryItem.tsx                                   9              1             54
./app/components/editor/codemirror/indent.ts                              12              3             53
./app/lib/hooks/usePromptEnhancer.ts                                      18              0             53
./app/lib/hooks/useMessageParser.ts                                       13              1             52
./app/lib/.server/llm/switchable-stream.ts                                15              0             51
./vite.config.ts                                                           6              0             51
./app/components/chat/Messages.client.tsx                                  4              0             49
./app/routes/api.enhancer.ts                                              11              0             49
./app/lib/hooks/useShortcuts.ts                                           13              0             46
./app/routes/api.chat.ts                                                  14              0             45
./app/lib/crypto.ts                                                       14              0             44
./app/lib/hooks/useSnapScroll.ts                                          10              0             42
./app/components/sidebar/date-binning.ts                                  15              3             41
./app/styles/animations.scss                                               8              0             41
./app/components/header/Header.tsx                                         2              0             39
./eslint.config.mjs                                                        1              6             39
./app/utils/shell.ts                                                      12              2             37
./app/lib/stores/previews.ts                                              13              0             36
./app/utils/classNames.ts                                                 13             13             35
./README.md                                                               21              0             33
./app/components/ui/PanelHeaderButton.tsx                                  3              0             33
./app/lib/stores/settings.ts                                               6              0             33
./app/lib/stores/terminal.ts                                               7              0             33
./tsconfig.json                                                            1              0             32
./.github/workflows/semantic-pr.yaml                                       0              1             31
./app/components/workbench/terminal/theme.ts                               4              1             31
./app/components/chat/SendButton.client.tsx                                3              0             30
./app/lib/.server/llm/stream-text.ts                                       5              0             30
./.github/actions/setup-and-build/action.yaml                              4              0             28
./app/lib/webcontainer/index.ts                                            6              1             28
./app/components/ui/ThemeSwitch.tsx                                        4              0             25
./app/styles/components/resize-handle.scss                                 3              0             25
./app/styles/z-index.scss                                                  8              0             25
./app/lib/stores/theme.ts                                                 12              0             23
./app/components/ui/LoadingDots.tsx                                        5              0             22
./app/utils/buffer.ts                                                      6              2             21
./app/utils/stripIndent.ts                                                 3              0             20
./.github/workflows/ci.yaml                                                6              2             19
./app/components/ui/PanelHeader.tsx                                        2              0             18
./app/components/chat/BaseChat.module.scss                                 2              0             17
./app/routes/_index.tsx                                                    3              0             17
./app/utils/promises.ts                                                    3              0             16
./app/components/chat/UserMessage.tsx                                      3              0             15
./app/styles/components/toast.scss                                         3              0             14
./app/styles/index.scss                                                    1              0             13
./app/types/actions.ts                                                     5              0             13
./app/utils/debounce.ts                                                    4              0             13
./app/components/chat/AssistantMessage.tsx                                 2              0             12
./bindings.sh                                                              4              0             12
./.editorconfig                                                            2              0             11
./.github/ISSUE_TEMPLATE/config.yml                                        0              0             11
./.github/ISSUE_TEMPLATE/feature_request.md                                8              4             11
./app/components/chat/CodeBlock.module.scss                                0              0             10
./app/lib/fetch.ts                                                         4              0             10
./app/utils/terminal.ts                                                    2              0              9
./app/styles/components/code.scss                                          1              0              8
./app/components/editor/codemirror/BinaryContent.tsx                       0              0              7
./app/lib/.server/llm/model.ts                                             2              0              7
./app/types/terminal.ts                                                    1              0              7
./load-context.ts                                                          2              0              7
./types/istextorbinary.d.ts                                                2              6              7
./app/entry.client.tsx                                                     1              0              6
./app/lib/stores/chat.ts                                                   1              0              6
./app/routes/chat.$id.tsx                                                  2              0              6
./functions/[[path]].ts                                                    2              1              6
./app/lib/persistence/ChatDescription.client.tsx                           1              0              5
./app/utils/react.ts                                                       1              0              5
./.husky/commit-msg                                                        3              0              4
./app/lib/.server/llm/api-key.ts                                           1              4              4
./app/lib/hooks/index.ts                                                   0              0              4
./app/types/artifact.ts                                                    0              0              4
./public/favicon.svg                                                       0              0              4
./wrangler.toml                                                            0              1              4
./app/styles/components/terminal.scss                                      0              0              3
./app/utils/constants.ts                                                   0              0              3
./app/utils/mobile.ts                                                      0              1              3
./app/utils/unreachable.ts                                                 0              0              3
./worker-configuration.d.ts                                                0              0              3
./app/lib/.server/llm/constants.ts                                         1              2              2
./app/lib/persistence/index.ts                                             0              0              2
./app/utils/easings.ts                                                     1              0              2
./app/lib/webcontainer/auth.client.ts                                      1              4              1
./app/types/theme.ts                                                       0              0              1
./icons/chat.svg                                                           0              0              1
./icons/logo-text.svg                                                      0              0              1
./icons/stars.svg                                                          0              0              1
./public/logo.svg                                                          0              0              1
----------------------------------------------------------------------------------------------------------
SUM:                                                                    3741            311          16020
----------------------------------------------------------------------------------------------------------
